fileName,iterations,status,repeated_fixes,repeated_init_spec,fst_iter_repeated_init_spec,wrong_format_msg,total_tokens,total_cost,running_time,Error_msg,,,,,,,,,
bempl1,1,NOT_FIXED,0,0,FALSE,0,560,0.02172,2.25,,,,,,,,,,
bempl1,2,NOT_FIXED,0,0,FALSE,0,1826,0.06675,6.67,,,,,,,,,,
bempl1,3,FIXED,0,0,FALSE,0,3426,0.12318,10.96,,,,,,,,,,
bempl1.als,3,Exception,0,0,FALSE,0,3426,0.12318,NA,AlloyAnalyzerAgent._write_summary_csv() missing 1 required positional argument: 'row',,,,,,,,,
balancedBST3_1,1,SYNTAX_ERROR,0,0,FALSE,0,1331,0.05766,6.59,"Syntax error in /Users/admin0513-27/Downloads/AlloySpecRepair-main-4/results_arepair_Setting-3/balancedBST3_1/balancedBST3_1_0_False.als at line 60 column 20:
There are 31 possible tokens that can appear here:
! # ( * @ Int NAME NUMBER STRING String ^ all disj fun iden int let lone no none one pred seq set some sum this univ { } ~ 
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.syntax_error(CompParser.java:2218)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.parse(CompParser.java:2079)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.alloy_parseStream(CompParser.java:2258)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseRecursively(CompUtil.java:121)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseEverything_fromFile(CompUtil.java:223)
	at alloyrepair.App.callAlloyEngine(App.java:133)
	at alloyrepair.App.main(App.java:102)",,,,,,,,,
balancedBST3_1,2,SYNTAX_ERROR,0,0,FALSE,0,4363,0.16977,14.01,"Syntax error in /Users/admin0513-27/Downloads/AlloySpecRepair-main-4/results_arepair_Setting-3/balancedBST3_1/balancedBST3_1_1_False.als at line 54 column 85:
There are 1 possible tokens that can appear here:
) 
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.syntax_error(CompParser.java:2218)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.parse(CompParser.java:2079)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.alloy_parseStream(CompParser.java:2258)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseRecursively(CompUtil.java:121)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseEverything_fromFile(CompUtil.java:223)
	at alloyrepair.App.callAlloyEngine(App.java:133)
	at alloyrepair.App.main(App.java:102)",,,,,,,,,
balancedBST3_1,3,SYNTAX_ERROR,0,0,FALSE,0,7999,0.29907,21.43,"Syntax error in /Users/admin0513-27/Downloads/AlloySpecRepair-main-4/results_arepair_Setting-3/balancedBST3_1/balancedBST3_1_2_False.als at line 54 column 61:
There are 1 possible tokens that can appear here:
) 
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.syntax_error(CompParser.java:2218)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.parse(CompParser.java:2079)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.alloy_parseStream(CompParser.java:2258)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseRecursively(CompUtil.java:121)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseEverything_fromFile(CompUtil.java:223)
	at alloyrepair.App.callAlloyEngine(App.java:133)
	at alloyrepair.App.main(App.java:102)",,,,,,,,,
balancedBST3_1,4,SYNTAX_ERROR,0,0,FALSE,0,12328,0.44931,29.84,"Syntax error in /Users/admin0513-27/Downloads/AlloySpecRepair-main-4/results_arepair_Setting-3/balancedBST3_1/balancedBST3_1_3_False.als at line 54 column 61:
There are 1 possible tokens that can appear here:
) 
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.syntax_error(CompParser.java:2218)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.parse(CompParser.java:2079)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.alloy_parseStream(CompParser.java:2258)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseRecursively(CompUtil.java:121)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseEverything_fromFile(CompUtil.java:223)
	at alloyrepair.App.callAlloyEngine(App.java:133)
	at alloyrepair.App.main(App.java:102)",,,,,,,,,
balancedBST3_1,5,SYNTAX_ERROR,0,0,FALSE,0,17222,0.61467,36.44,"Syntax error in /Users/admin0513-27/Downloads/AlloySpecRepair-main-4/results_arepair_Setting-3/balancedBST3_1/balancedBST3_1_4_False.als at line 6 column 25:
Syntax error at the ; character.
	at edu.mit.csail.sdg.alloy4compiler.parser.CompLexer.next_token(CompLexer.java:1079)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompFilter$1.next_token(CompFilter.java:127)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompFilter$2.next_token(CompFilter.java:143)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompFilter$3.next_token(CompFilter.java:219)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompFilter.myread(CompFilter.java:74)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompFilter.next_token(CompFilter.java:82)
	at java_cup.runtime.lr_parser.scan(lr_parser.java:350)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.parse(CompParser.java:2066)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompParser.alloy_parseStream(CompParser.java:2258)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseRecursively(CompUtil.java:121)
	at edu.mit.csail.sdg.alloy4compiler.parser.CompUtil.parseEverything_fromFile(CompUtil.java:223)
	at alloyrepair.App.callAlloyEngine(App.java:133)
	at alloyrepair.App.main(App.java:102)",,,,,,,,,
balancedBST3_1.als,6,Exception,0,0,FALSE,0,18227,0.64635,NA,AlloyAnalyzerAgent._write_summary_csv() missing 1 required positional argument: 'row',,,,,,,,,
student17_1,1,NOT_FIXED,0,0,FALSE,0,902,0.03768,7.09,,,,,,,,,,
student17_1,2,NOT_FIXED,0,0,FALSE,0,2936,0.11274,17.89,,,,,,,,,,
